Item.number,Value,item,participant,oneWord,best
4,  rücksichtlos,1,20, rücksichtlos,rücksichtsloser und wütender Mensch
4, jemand der nicht auf andere achtet,1,29, rücksichtlos,rücksichtsloser und wütender Mensch
4, unkontrollierter Angestellter,1,8, unkontrollierter Angestellter,rücksichtsloser und wütender Mensch
4, unkontrollierter Angestellter,1,15, unkontrollierter Angestellter,rücksichtsloser und wütender Mensch
4, unkontrollierter Angestellter,1,19, unkontrollierter Angestellter,rücksichtsloser und wütender Mensch
4, unkontrollierter Angestellter,1,36, unkontrollierter Angestellter,rücksichtsloser und wütender Mensch
4, lauter und aggresiver Mensch,1,48,agressiv,rücksichtsloser und wütender Mensch
4, eine Person%2C die sich vor anderen aufpusten muss,1,41,aufpusten,rücksichtsloser und wütender Mensch
4, ohne Gnade,1,42,gandenlos,rücksichtsloser und wütender Mensch
4,Jemand großes  ,1,24,groß,rücksichtsloser und wütender Mensch
4, jemand der mit dem Kopf durch die Wand geht,1,40,kopf durch wand,rücksichtsloser und wütender Mensch
4, lauter Mensch,1,3,laut,rücksichtsloser und wütender Mensch
4, lauter%2C stürmischer Mensch,1,30,laut,rücksichtsloser und wütender Mensch
4, Baustellenfahrzeug,1,32,literal,rücksichtsloser und wütender Mensch
4, eine zerstörerische Maschine,1,27,literal,rücksichtsloser und wütender Mensch
4, Person/Objekt die rücksichtslos in ihre Richtung strebt,1,26,literal,rücksichtsloser und wütender Mensch
4, Mensch%2C der Dinge zerstören will,1,38,literal,rücksichtsloser und wütender Mensch
4, PLatt machen%2C zerstören,1,7,literal,rücksichtsloser und wütender Mensch
4, Ich weiß es nicht,1,4,na,rücksichtsloser und wütender Mensch
4, Ich weiß es nicht,1,13,na,rücksichtsloser und wütender Mensch
4, ich weiß es nicht,1,14,na,rücksichtsloser und wütender Mensch
4, ich weiß es nicht ,1,25,na,rücksichtsloser und wütender Mensch
4, Ich weiss nicht,1,17,na,rücksichtsloser und wütender Mensch
4, t,1,5,na,rücksichtsloser und wütender Mensch
4, Wegsperre,1,16,na,rücksichtsloser und wütender Mensch
4, weis nicht,1,47,na,rücksichtsloser und wütender Mensch
4,Angestellte ,1,22,na,rücksichtsloser und wütender Mensch
4, der unkontrollierte Angestellter ist der Bulldozer,1,10,na,rücksichtsloser und wütender Mensch
4,vor nichts halt machend ,1,37,nicht zu stoppen,rücksichtsloser und wütender Mensch
4, Eine rücksichtslose Person,1,12,rücksichtlos,rücksichtsloser und wütender Mensch
4, Jemand%2C der ohne Rücksicht niederwalzt,1,21,rücksichtlos,rücksichtsloser und wütender Mensch
4, Die Person (Sarah) vergleicht den Angestellten als Bulldozer%2C da er unkontrolliert unbeteiligte Personen Schaden zufügt.,1,33,schadenzufügen,rücksichtsloser und wütender Mensch
4, etwas starkes,1,44,stark,rücksichtsloser und wütender Mensch
4, überrollend,1,49,überrollend,rücksichtsloser und wütender Mensch
4, Ein unfreundlicher Mensch,1,43,unfreundlich,rücksichtsloser und wütender Mensch
4, Eine Person%2C die sehr laut und ungehalten ist,1,28,ungehalten,rücksichtsloser und wütender Mensch
4, Der Bulldozer steht für das unkontrollierte Verhalten des Angestellten.,1,9,unkontrolliert,rücksichtsloser und wütender Mensch
4, Jemand%2C der unkontrolliert Ärger sucht,1,46,unkontrolliert,rücksichtsloser und wütender Mensch
4, unkonstrolliert%2C sehr laut,1,39,unkontrolliert,rücksichtsloser und wütender Mensch
4,unkontrollierter Angestellter ,1,1,unkontrolliert,rücksichtsloser und wütender Mensch
4,unkontrollierter Angestellter ,1,23,unkontrolliert,rücksichtsloser und wütender Mensch
4,Angestellter%2C der verbal alle platt macht,1,50,verbal platt machen,rücksichtsloser und wütender Mensch
4,Angestellter%2C der verbal alle platt macht ,1,50,verbal platt machen,rücksichtsloser und wütender Mensch
